id,officer_id,salary,overtime_pay,year,is_fiscal_year
,32986,90033.13,,2018,true
,32987,90033.13,15476.83,2018,true
,31936,87531.16,18758.11,2019,true
,31938,99650.02,6978.24,2019,true
,31939,89031.1,11762.53,2019,true
,31940,86571.08,5062.67,2019,true
,31942,115581.16,18732.57,2019,true
,31945,84910.08,,2019,true
,31946,94429.16,21850.47,2019,true
,31947,71747.0,5624.78,2019,true
,31948,84210.16,,2019,true
,31950,85471.02,1039.48,2019,true
,31951,88031.14,13616.92,2019,true
,31952,87431.06,1177.58,2019,true
,31953,99850.22,15858.68,2019,true
,31954,87171.16,8224.97,2019,true
,31957,93393.18,12844.38,2019,true
,31958,49438.0,,2019,true
,31962,97623.16,1999.53,2019,true
,31963,105503.08,4077.93,2019,true
,31966,58647.0,,2019,true
,31967,114481.1,3929.87,2019,true
,31968,96548.2,4981.95,2019,true
,31970,83410.14,,2019,true
,31971,85710.1,19221.64,2019,true
,31975,99650.02,,2019,true
,31976,85471.02,10607.47,2019,true
,31977,59820.0,,2019,true
,31978,83910.12,14204.47,2019,true
,31979,99750.12,73.88,2019,true
,31980,85571.12,13311.07,2019,true
,31981,86571.08,19406.59,2019,true
,31982,87031.18,10429.66,2019,true
,31983,86410.02,10316.09,2019,true
,31984,87431.06,,2019,true
,31985,83910.12,932.38,2019,true
